Gyro_X,Gyro_Y,Time,Gesture,Type
21.94,-81.69,350,89,U
10.61,17.72,400,89,U
28.59,-138.62,450,89,U
123.80,-14.50,0,90,R
142.29,-8.49,50,90,R
91.65,5.14,100,90,R
80.43,17.70,150,90,R
72.86,30.85,200,90,R
98.93,42.35,250,90,R
55.62,25.22,300,90,R
44.73,28.00,350,90,R
43.71,47.61,400,90,R
7.27,43.82,450,90,R
126.12,-27.28,0,91,R
148.47,-35.36,50,91,R
161.56,-30.39,100,91,R
171.12,-21.24,150,91,R
131.64,-30.84,200,91,R
158.77,-27.30,250,91,R
141.65,-33.78,300,91,R
181.39,-22.37,350,91,R
135.39,-21.56,400,91,R
157.95,-25.08,450,91,R
118.98,-17.50,0,92,R
88.93,-11.63,50,92,R
84.22,-11.83,100,92,R
86.00,-10.11,150,92,R
114.42,-15.67,200,92,R
119.18,-13.21,250,92,R
137.37,-19.21,300,92,R
147.37,-19.51,350,92,R
161.70,-17.71,400,92,R
164.79,-23.98,450,92,R
-0.93,-0.99,0,93,R
-6.97,6.77,50,93,R
-2.47,-0.60,100,93,R
-3.46,2.62,150,93,R
9.07,-0.69,200,93,R
55.42,6.30,250,93,R
181.93,3.85,300,93,R
219.12,-7.49,350,93,R
219.12,-15.77,400,93,R
192.91,3.25,450,93,R
7.43,3.48,0,94,R
179.29,1.49,50,94,R
219.12,-18.00,100,94,R
209.91,22.78,150,94,R
139.70,-27.89,200,94,R
173.20,-26.41,250,94,R
196.35,-11.59,300,94,R
157.67,-10.76,350,94,R
111.57,-0.58,400,94,R
68.78,0.85,450,94,R
60.48,-21.07,0,95,R
80.68,-22.97,50,95,R
66.53,-12.02,100,95,R
80.74,-17.58,150,95,R
68.89,-19.79,200,95,R
69.81,-24.75,250,95,R
70.89,-29.99,300,95,R
140.46,-36.03,350,95,R
205.07,-41.72,400,95,R
146.16,-49.78,450,95,R
125.04,0.79,0,96,R
173.46,17.53,50,96,R
131.93,14.97,100,96,R
124.28,8.38,150,96,R
122.14,7.27,200,96,R
58.24,5.11,250,96,R
51.53,-9.45,300,96,R
60.03,-24.85,350,96,R
51.43,-14.83,400,96,R
49.13,-21.12,450,96,R
164.57,-20.12,0,97,R
197.88,-8.05,50,97,R
216.37,-28.46,100,97,R
219.12,-42.05,150,97,R
219.12,3.14,200,97,R
109.83,9.73,250,97,R
80.27,-16.63,300,97,R
31.77,-27.12,350,97,R
-3.15,-24.05,400,97,R
-38.63,-15.43,450,97,R
217.79,11.17,0,98,R
219.12,2.31,50,98,R
186.16,-3.19,100,98,R
193.26,-2.44,150,98,R
219.12,-5.58,200,98,R
198.85,-15.87,250,98,R
85.96,-23.72,300,98,R
111.19,-44.91,350,98,R
65.65,-29.95,400,98,R
-9.57,-3.30,450,98,R
-31.11,15.93,0,99,R
-10.80,21.92,50,99,R
0.03,6.17,100,99,R
-9.57,19.33,150,99,R
-46.00,-0.63,200,99,R
-78.99,10.79,250,99,R
-42.11,0.93,300,99,R
71.43,-9.33,350,99,R
219.12,28.91,400,99,R
219.12,12.86,450,99,R
-13.55,40.02,0,100,D
-33.35,54.24,50,100,D
-9.76,42.41,100,100,D
-14.29,49.34,150,100,D
0.12,48.11,200,100,D
26.85,46.97,250,100,D
-18.95,67.26,300,100,D
-0.87,50.25,350,100,D
51.34,37.07,400,100,D
0.30,30.83,450,100,D
104.07,211.09,0,101,D
68.62,118.37,50,101,D
38.97,45.47,100,101,D
28.11,59.06,150,101,D
27.06,71.72,200,101,D
28.13,57.97,250,101,D
98.35,25.17,300,101,D
76.63,-12.97,350,101,D
42.31,-10.74,400,101,D
-18.41,-12.11,450,101,D
61.00,94.82,0,102,D
48.19,143.21,50,102,D
5.30,75.82,100,102,D
30.26,9.89,150,102,D
5.03,40.31,200,102,D
25.05,58.64,250,102,D
15.60,49.94,300,102,D
37.31,53.69,350,102,D
9.04,53.97,400,102,D
-14.03,16.94,450,102,D
-17.00,33.61,0,103,D
15.58,38.83,50,103,D
-6.41,49.17,100,103,D
40.08,58.30,150,103,D
2.73,95.20,200,103,D
31.49,57.55,250,103,D
6.03,70.66,300,103,D
42.43,56.04,350,103,D
31.79,66.04,400,103,D
37.37,81.45,450,103,D
18.55,66.72,0,104,D
8.07,63.46,50,104,D
21.99,71.37,100,104,D
14.82,67.37,150,104,D
19.53,71.09,200,104,D
9.07,58.55,250,104,D
4.16,65.85,300,104,D
11.21,52.09,350,104,D
-5.13,55.97,400,104,D
-0.72,48.87,450,104,D
-15.94,43.82,0,105,D
-20.12,52.13,50,105,D
10.51,58.23,100,105,D
-1.43,54.97,150,105,D
-15.37,56.61,200,105,D
-23.73,65.12,250,105,D
11.27,65.74,300,105,D
-27.01,63.22,350,105,D
-11.37,59.51,400,105,D
21.31,60.98,450,105,D
-24.41,77.91,0,106,D
-7.85,73.49,50,106,D
-21.17,77.28,100,106,D
