Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Time,Gesture,Type
-2.88,3.78,7.22,-38.67,-8.08,-9.83,50,31,D
-2.38,3.09,6.94,-77.79,-12.18,-0.47,100,31,D
-2.65,2.34,10.80,-115.67,-71.89,7.29,150,31,D
-0.86,1.43,9.06,-113.89,-57.62,9.34,200,31,D
-2.03,-0.39,8.28,-86.88,-0.69,5.55,250,31,D
-1.15,-0.06,10.27,-67.00,-8.50,3.65,300,31,D
-1.26,-0.79,9.15,-64.18,-10.63,0.63,350,31,D
-1.50,-1.42,10.35,-63.81,-9.56,3.40,400,31,D
-0.91,-1.63,10.35,-53.12,-9.23,-0.79,450,31,D
-3.42,3.78,7.31,-111.09,-30.56,-28.53,0,32,D
-2.02,3.19,8.60,-128.62,-51.20,-29.37,50,32,D
-2.83,2.08,9.95,-146.42,-74.20,-34.94,100,32,D
-1.92,0.80,10.38,-115.74,-54.81,-17.71,150,32,D
-1.21,-0.26,11.36,-95.84,-11.28,-14.85,200,32,D
-1.88,-0.79,10.76,-72.86,-2.54,-18.42,250,32,D
-1.38,-0.92,9.76,-58.04,-14.29,1.21,300,32,D
-1.43,-1.65,10.14,-54.30,1.87,11.16,350,32,D
-0.70,-1.47,10.97,-32.69,11.39,5.25,400,32,D
-1.31,-1.54,10.60,-16.37,5.62,-0.56,450,32,D
-1.63,1.98,7.64,-90.17,-9.99,-29.82,0,33,D
-3.50,0.66,9.70,-96.69,-12.37,-31.07,50,33,D
-2.94,-0.00,9.15,-93.86,-3.74,-27.50,100,33,D
-3.24,-0.75,9.43,-96.82,-12.93,-27.52,150,33,D
-2.25,-2.05,8.93,-101.70,-24.77,-26.18,200,33,D
-2.46,-3.11,9.19,-98.09,-9.19,-19.00,250,33,D
-1.70,-3.81,9.12,-97.81,-15.82,-22.67,300,33,D
-1.85,-4.68,9.92,-85.63,-11.18,-26.98,350,33,D
-2.29,-5.34,10.02,-67.58,-17.38,-26.97,400,33,D
-2.54,-5.85,9.79,-47.69,-9.86,-10.30,450,33,D
-1.59,4.19,7.57,-77.41,17.36,-9.00,0,34,D
0.37,4.16,6.70,-87.78,22.13,-10.59,50,34,D
-1.55,3.03,9.19,-107.60,3.91,-22.03,100,34,D
-0.87,2.14,9.22,-110.57,14.93,-31.44,150,34,D
-1.75,1.11,11.18,-99.09,-9.15,-32.33,200,34,D
