Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Time,Gesture,Type
5924,2136,19488,-421,6359,-1399,0,38,U
5460,1936,19688,-834,7193,-508,50,38,U
3452,2332,18856,-1186,6145,705,100,38,U
2812,1672,18152,-1845,2725,2350,150,38,U
2620,824,17732,-1769,548,3582,200,38,U
4736,128,16080,-1802,1975,1169,250,38,U
4440,472,15272,-40,2123,553,300,38,U
3080,520,15568,-286,2000,-26,350,38,U
2940,392,14612,-264,1173,-741,400,38,U
1548,376,14324,-61,2367,-2109,450,38,U
10724,9608,20580,769,1604,950,0,39,U
10428,8432,19104,-3690,5650,-737,50,39,U
10372,7576,17456,-10643,4052,429,100,39,U
10976,4392,15112,-22199,9403,-523,150,39,U
9184,492,11480,-30895,16509,-109,200,39,U
6552,-2868,10672,-27401,15060,5539,250,39,U
4384,-5216,10672,-21783,11624,7354,300,39,U
200,-6840,7532,-11984,9268,6093,350,39,U
-1008,-7756,7848,-2794,6961,4480,400,39,U
-2768,-6376,7048,3681,5443,2557,450,39,U
6700,2580,21044,330,-1948,-1152,0,40,U
9060,908,17744,-2483,-1251,-1213,50,40,U
8652,984,16616,3597,444,-4345,100,40,U
8808,1680,15184,2713,3187,-5681,150,40,U
7876,2160,14412,-4091,5073,-4995,200,40,U
7248,2268,12808,-14016,5484,-2064,250,40,U
5832,12,11980,-18637,8278,384,300,40,U
3560,-3880,11364,-19954,6571,4896,350,40,U
3088,-4552,10872,-15595,4647,5045,400,40,U
2208,-6364,10112,-13134,4480,4829,450,40,U
3480,2844,16360,-4378,54,-8899,0,41,R
3508,1912,16208,-5207,-1519,-8721,50,41,R
3388,852,16484,-4725,238,-10085,100,41,R
4988,288,16316,-5534,598,-11080,150,41,R
3796,84,15884,-6042,-90,-11109,200,41,R
4228,-400,14592,-6496,75,-9560,250,41,R
3556,-576,15532,-4311,-1870,-9056,300,41,R
4268,-748,15468,-4862,-2305,-9182,350,41,R
4396,-1136,15048,-4123,-3185,-8651,400,41,R
4932,-1416,15304,-4179,-4219,-7798,450,41,R
4536,3936,15572,-9038,-3043,-13340,0,42,R
7380,3448,14944,-12493,-262,-14996,50,42,R
6248,160,14628,-11322,-514,-12949,100,42,R
6956,-880,14508,-7964,-1538,-10507,150,42,R
6796,-2092,13800,-7303,-2949,-9258,200,42,R
6568,-1248,14784,-5767,-3416,-9537,250,42,R
7356,-1256,14032,-7640,-2065,-9310,300,42,R
8240,-1500,13820,-6050,-3816,-8143,350,42,R
12664,-3156,13220,-6555,848,-9014,400,42,R
10376,-3808,13636,-4404,-1095,-5315,450,42,R
-13624,10744,23068,8087,-14963,5240,0,43,R
884,4756,21288,-10368,-2578,-15450,50,43,R
9356,-1780,16132,-11536,9144,-22826,100,43,R
11168,-1800,13024,-9518,4972,-18509,150,43,R
4624,-1132,6220,-3551,15083,-11444,200,43,R
9332,-4536,11076,-3259,9170,-7295,250,43,R
7980,-3760,13544,-642,3235,-8442,300,43,R
6848,-2372,14796,-521,2590,-8958,350,43,R
7936,-2936,14436,-1270,6473,-13254,400,43,R
4636,-1052,16556,-3125,1529,-18934,450,43,R
4088,4568,17188,-3351,914,-6942,0,44,R
3848,4804,16484,-6002,840,-10254,50,44,R
4056,4820,15680,-6867,315,-14396,100,44,R
5252,4988,15648,-8905,-1569,-17102,150,44,R
9752,3124,14532,-10708,154,-21689,200,44,R
9480,640,13556,-12008,2536,-22384,250,44,R
11200,100,13592,-11102,-205,-19278,300,44,R
9192,-1956,13272,-11135,-1941,-12111,350,44,R
9908,-3952,12432,-9919,-1004,-4691,400,44,R
8808,-4728,13236,-3370,-1422,631,450,44,R
7304,3160,16112,-5572,-761,-11114,0,45,R
6912,2220,15280,-6755,-364,-11788,50,45,R
7868,2156,15632,-6630,-690,-13084,100,45,R
8156,340,14740,-7329,-450,-11791,150,45,R
9436,-168,14416,-7405,689,-13290,200,45,R
9516,-624,13956,-7338,649,-11233,250,45,R
9828,-672,14772,-6281,666,-9056,300,45,R
9132,-2416,14044,-6345,409,-7632,350,45,R
10392,-2016,14488,-3411,222,-7511,400,45,R
7824,-4408,13000,-3533,114,-1365,450,45,R
14760,-3616,7464,-12603,-2610,-3282,0,46,R
14536,-4624,6120,-10049,-5103,-1729,50,46,R
15692,-4844,6232,-8533,-3007,-2042,100,46,R
16304,-6352,5520,-8323,-1036,-1778,150,46,R
16608,-6576,5192,-5570,464,-1325,200,46,R
15888,-5916,5816,-2723,-515,-475,250,46,R
14540,-5336,6088,-4277,1741,-632,300,46,R
15180,-5648,5924,-4126,-199,-1021,350,46,R
14688,-6884,4364,-4795,2712,-2014,400,46,R
14756,-7944,3028,-3223,2192,-1451,450,46,R
11960,-5276,11156,-11875,819,-5213,0,47,R
11512,-5864,10268,-12055,535,-4647,50,47,R
12124,-7168,9272,-12577,1052,-4173,100,47,R
11340,-7900,8568,-11040,2509,-4022,150,47,R
11388,-8380,7880,-11557,1024,-3030,200,47,R
12560,-9556,7244,-10236,-187,-2444,250,47,R
12152,-10308,6384,-9116,2512,-2505,300,47,R
12572,-10912,5948,-9405,1913,-416,350,47,R
11444,-11244,4328,-8644,486,-509,400,47,R
12012,-11992,3044,-11794,3448,1350,450,47,R
11056,-10532,6784,-4958,475,614,0,48,R
10020,-10552,7268,-3065,1964,1037,50,48,R
10348,-10804,7400,-3390,105,1457,100,48,R
9884,-10832,7016,-2645,312,1660,150,48,R
9756,-10996,7196,-3209,62,396,200,48,R
9524,-11372,6684,-2112,329,88,250,48,R
9648,-12000,4716,-1832,-965,180,300,48,R
11368,-12960,-36,-3470,-2862,1483,350,48,R
9432,-13412,-4436,1195,-12198,2537,400,48,R
11592,-11476,3868,22994,-6987,1198,450,48,R
10084,-3576,12984,490,-852,1910,0,49,R
9884,-3620,12724,940,-782,1772,50,49,R
9388,-3628,12152,1144,-2562,1530,100,49,R
11204,-3188,12120,1163,-1324,1395,150,49,R
10116,-3332,12488,1513,-1761,905,200,49,R
10000,-2848,12912,1562,-417,-251,250,49,R
9788,-2252,13772,1670,-218,-758,300,49,R
9988,-1512,14272,-767,-111,-1885,350,49,R
9852,136,15364,-3361,1069,-3943,400,49,R
9628,-240,15100,-8038,-394,-4583,450,49,R
13560,-6236,8108,-8966,2273,-1183,0,50,R
12832,-6120,7644,-8816,833,-122,50,50,R
13360,-7008,6868,-7330,787,-440,100,50,R
12352,-6864,7616,-6373,3188,-642,150,50,R
13236,-6940,8116,-5695,407,-406,200,50,R
13220,-7604,7396,-6077,675,-337,250,50,R
12128,-7688,7428,-6383,1037,-435,300,50,R
12360,-8436,7100,-6766,-570,-251,350,50,R
13092,-8268,7776,-8434,2680,-3489,400,50,R
12740,-9060,7056,-10714,316,-2291,450,50,R
7640,-1152,15084,825,-304,-282,0,51,D
7528,-620,14680,624,-3484,1137,50,51,D
7796,-324,15112,937,934,850,100,51,D
7792,-656,15072,1716,-826,348,150,51,D
8272,-480,14948,1161,-837,407,200,51,D
8068,-208,14768,1523,-692,1128,250,51,D
8332,-260,14024,2410,-421,-1,300,51,D
8064,-128,14368,4010,-1184,290,350,51,D
8128,320,14540,3826,-197,-290,400,51,D
8144,864,14384,3876,-288,91,450,51,D
484,-2300,14540,2016,-2576,112,0,52,D
1372,-1876,15436,3152,-1927,-417,50,52,D
944,-1536,15560,2872,-2305,191,100,52,D
1004,-480,16064,4417,-2110,-341,150,52,D
2360,44,15460,2220,-2679,156,200,52,D
1968,-1416,14552,2777,-2063,583,250,52,D
2568,80,14156,2650,-1927,29,300,52,D
2564,296,13632,4408,-3353,-472,350,52,D
3088,308,14252,5340,-3010,-251,400,52,D
3452,3184,15224,5996,-2143,-2356,450,52,D
160,-540,14444,-1791,-633,-97,0,53,D
-80,236,9548,-7186,-2987,-580,50,53,D
-1356,-892,4792,-9025,-5129,1351,100,53,D
2816,-2888,1540,-8286,-6598,1577,150,53,D
4864,-1932,7604,6047,-8496,6242,200,53,D
2144,-544,15992,32767,-9289,-4210,250,53,D
7400,12264,25504,32767,-2412,-10371,300,53,D
8472,28440,32767,8550,-16558,-3980,350,53,D
8564,7456,23404,-16540,-9018,2662,400,53,D
7884,4060,13640,-8176,462,-1781,450,53,D
1432,412,12096,21570,-22202,-10946,0,54,D
8424,3812,21672,14295,-2907,-9563,50,54,D
10940,3024,23720,5781,-6059,-5578,100,54,D
9340,1968,21592,5407,-6521,-4199,150,54,D
9724,4388,21116,3088,-652,-1074,200,54,D
7972,2864,20300,-2373,-2542,738,250,54,D
8992,3956,20812,-2715,1061,25,300,54,D
8452,3224,20360,-9912,1341,2126,350,54,D
5912,-988,12832,-12839,166,3533,400,54,D
3720,-2820,5116,-10645,2268,1708,450,54,D
3532,-5824,15028,-109,-163,-177,0,55,D
